round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
2,FALSE,90,15,FALSE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
3,FALSE,90,15,FALSE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
4,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
5,FALSE,90,0,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
6,FALSE,90,0,FALSE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
7,FALSE,90,0,FALSE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
8,FALSE,90,0,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
9,FALSE,90,15,FALSE,FALSE,TRUE,4,FALSE,800,0,0,200,0,200,200,0
10,FALSE,90,15,FALSE,FALSE,TRUE,4,FALSE,300,100,100,700,100,300,200,100
11,FALSE,90,0,FALSE,FALSE,TRUE,4,FALSE,800,0,0,200,0,200,200,0
12,FALSE,90,0,FALSE,FALSE,TRUE,4,FALSE,300,100,100,700,100,300,200,100
13,FALSE,90,15,FALSE,TRUE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
14,FALSE,90,15,FALSE,TRUE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
15,FALSE,90,0,FALSE,TRUE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
16,FALSE,90,0,FALSE,TRUE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
17,TRUE,90,15,TRUE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
18,FALSE,90,15,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
19,FALSE,90,15,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
20,FALSE,90,15,TRUE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
21,FALSE,90,0,TRUE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
22,FALSE,90,0,FALSE,FALSE,FALSE,4,TRUE,800,0,0,200,0,200,200,0
23,FALSE,90,0,FALSE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
24,FALSE,90,0,TRUE,FALSE,FALSE,4,TRUE,300,100,100,700,100,300,200,100
25,FALSE,90,15,FALSE,FALSE,FALSE,4,FALSE,300,0,500,100,300,500,0,100
26,FALSE,90,0,FALSE,FALSE,FALSE,4,FALSE,300,0,500,100,300,500,0,100
27,FALSE,90,0,FALSE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
28,FALSE,90,15,FALSE,FALSE,FALSE,4,TRUE,200,0,400,200,500,600,300,100
29,FALSE,90,15,TRUE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
30,FALSE,90,15,FALSE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
31,FALSE,90,0,FALSE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
32,FALSE,90,0,TRUE,FALSE,FALSE,4,TRUE,300,0,500,100,300,500,0,100
